season,round,driver_id,position,points,wins
1954,9,gould,,0.0,0
1954,9,mccoy,,0.0,0
1954,9,reece,,0.0,0
1954,9,bob_scott,,0.0,0
1954,9,elisian,,0.0,0
1954,9,armi,,0.0,0
1954,9,fonder,,0.0,0
1954,9,hartley,,0.0,0
1954,9,frere,,0.0,0
1954,9,volonterio,,0.0,0
1954,9,lang,,0.0,0
1954,9,bucci,,0.0,0
1954,9,pollet,,0.0,0
1954,9,loyer,,0.0,0
1954,9,helfrich,,0.0,0
1954,9,salvadori,,0.0,0
1954,9,macklin,,0.0,0
1954,9,whitehouse,,0.0,0
1954,9,menditeguy,,0.0,0
1954,9,georges_berger,,0.0,0
1954,9,rathmann,,0.0,0
1954,9,flockhart,,0.0,0
1954,9,connor,,0.0,0
1954,9,johnson,,0.0,0
1954,9,ward,,0.0,0
1954,9,riseley_prichard,,0.0,0
1954,9,reg_parnell,,0.0,0
1954,9,daywalt,,0.0,0
1954,9,thomson,,0.0,0
1954,9,flaherty,,0.0,0
1954,9,whitehead,,0.0,0
1954,9,brandon,,0.0,0
1954,9,webb,,0.0,0
1954,9,kladis,,0.0,0
1954,9,duncan,,0.0,0
1954,9,alan_brown,,0.0,0
1954,9,nuckey,,0.0,0
1954,9,homeier,,0.0,0
1955,7,fangio,1.0,40.0,4
1955,7,moss,2.0,23.0,1
1955,7,castellotti,3.0,12.0,0
1955,7,trintignant,4.0,10.0,1
1955,7,farina,5.0,9.0,0
1955,7,taruffi,6.0,9.0,0
1955,7,sweikert,7.0,8.0,1
1955,7,mieres,8.0,7.0,0
1955,7,behra,9.0,6.0,0
1955,7,musso,10.0,6.0,0
1955,7,kling,11.0,5.0,0
1955,7,davies,12.0,4.0,0
1955,7,bettenhausen,13.0,3.0,0
1955,7,paul_russo,14.0,3.0,0
1955,7,frere,15.0,3.0,0
1955,7,thomson,16.0,3.0,0
1955,7,gonzalez,17.0,2.0,0
1955,7,perdisa,18.0,2.0,0
1955,7,menditeguy,19.0,2.0,0
1955,7,villoresi,20.0,2.0,0
1955,7,maglioli,21.0,1.33,0
1955,7,herrmann,22.0,1.0,0
1955,7,faulkner,23.0,1.0,0
1955,7,homeier,24.0,1.0,0
1955,7,vukovich,25.0,1.0,0
1955,7,hawthorn,,0.0,0
1955,7,schell,,0.0,0
1955,7,chiron,,0.0,0
1955,7,linden,,0.0,0
1955,7,pollet,,0.0,0
1955,7,mantovani,,0.0,0
1955,7,herman,,0.0,0
1955,7,sparken,,0.0,0
1955,7,ramos,,0.0,0
1955,7,macklin,,0.0,0
1955,7,connor,,0.0,0
1955,7,rosier,,0.0,0
1955,7,wharton,,0.0,0
1955,7,daywalt,,0.0,0
1955,7,fitch,,0.0,0
1955,7,flaherty,,0.0,0
1955,7,claes,,0.0,0
1955,7,darter,,0.0,0
1955,7,weyant,,0.0,0
1955,7,johnson,,0.0,0
1955,7,rathmann,,0.0,0
1955,7,bucci,,0.0,0
1955,7,iglesias,,0.0,0
1955,7,ascari,,0.0,0
1955,7,jack_brabham,,0.0,0
1955,7,gould,,0.0,0
1955,7,manzon,,0.0,0
1955,7,mcalpine,,0.0,0
1955,7,bayol,,0.0,0
1955,7,collins,,0.0,0
1955,7,uria,,0.0,0
1955,7,freeland,,0.0,0
1955,7,peter_walker,,0.0,0
1955,7,niday,,0.0,0
1955,7,salvadori,,0.0,0
1955,7,simon,,0.0,0
1955,7,cross,,0.0,0
1955,7,templeman,,0.0,0
1955,7,hanks,,0.0,0
1955,7,rolt,,0.0,0
1955,7,lucas,,0.0,0
1955,7,birger,,0.0,0
1955,7,andrews,,0.0,0
1955,7,marr,,0.0,0
1955,7,parsons,,0.0,0
1955,7,whiteaway,,0.0,0
